Title,Rating,Link,Description,Cast,Directors,Producers,Genres,Themes
Radiohead: In Rainbows - From the Basement,4.73,https://letterboxd.com/film/radiohead-in-rainbows-from-the-basement/,"A live performance by Radiohead of their 2007 album In Rainbows. This was their first of two full-episode performances, filmed at Maida Vale Studios in London, as part of the ‘From The Basement’ television series produced by Nigel Godrich, Dilly Gent, James Chads and John Woollcombe.","['Thom Yorke', 'Jonny Greenwood', 'Colin Greenwood', ""Ed O'Brien"", 'Philip Selway']",['David Barnard'],"['Dilly Gent', 'Nigel Godrich', 'James Chads', 'John Woollcombe']",['Music'],[]
Band of Brothers,4.72,https://letterboxd.com/film/band-of-brothers/,"Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war. As an elite rifle company parachuting into Normandy early on D-Day morning, participants in the Battle of the Bulge, and witness to the horrors of war, the men of Easy knew extraordinary bravery and extraordinary fear - and became the stuff of legend. Based on Stephen E. Ambrose's acclaimed book of the same name.","['Michael Cudlitz', 'Rick Gomez', 'Scott Grimes', 'Damian Lewis', 'Ron Livingston', 'James Madio', 'Neal McDonough', 'Donnie Wahlberg', 'Tom Hardy', 'Kirk Acevedo', 'David Schwimmer']","['Phil Alden Robinson', 'Richard Loncraine', 'Mikael Salomon', 'David Nutter', 'Tom Hanks', 'David Leland', 'David Frankel', 'Tony To']","['Terri Depaolo', 'Bruce Everett', 'Ivan Schwarz', 'Eugene Kelly', 'Billy Fox', 'Mary Richards']","['Drama', 'War']","['War and historical adventure', 'Epic history and literature', 'Military combat and heroic soldiers', 'Nazis and World War II', 'Historical battles and epic heroism', 'Bravery in War', 'Political drama, patriotism, and war']"
Harakiri,4.69,https://letterboxd.com/film/harakiri/,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.","['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita', 'Tetsuro Tamba', 'Masao Mishima', 'Ichirō Nakatani', 'Kei Satō', 'Yoshio Inaba', 'Hisashi Igawa', 'Toru Takeuchi', 'Yoshirō Aoki', 'Tatsuo Matsumura', 'Akiji Kobayashi', 'Kōichi Hayashi', 'Ryūtarō Gomi', 'Jo Azumi', 'Nakajirō Tomita', 'Shichisaburo Amatsu', 'Kenzō Tanaka', 'Shin Nakahara', 'Tsuneo Ikeda', 'Minoru Miyagi', 'Takaaki Kadota', 'Ichirō Yamamoto', 'Gen Takasugi', 'Satoshi Nishida', 'Tetsuro Komiyama', 'Shûichirô Narita', 'Noboru Kasuga', 'Show All…', 'Shinpachi Kura', 'Kenji Hayashi', 'Shōtarō Hayashi', 'Shimezo Kataoka', 'Bunya Ozawa', 'Konosuke Takemoto', 'Rentaro Mikuni']",['Masaki Kobayashi'],"[""Gin'ichi Kishimoto"", 'Tatsuo Hosoya']","['History', 'Drama', 'Action']","['Epic heroes', 'Powerful poetic and passionate drama', 'Historical battles and epic heroism', 'Surreal and thought-provoking visions of life and death']"
Stop Making Sense,4.68,https://letterboxd.com/film/stop-making-sense/,"A concert film documenting Talking Heads at the height of their popularity, on tour for their 1983 album ""Speaking in Tongues."" The band takes the stage one by one and is joined by a cadre of guest musicians for a career-spanning and cinematic performance that features creative choreography and visuals.","['David Byrne', 'Chris Frantz', 'Jerry Harrison', 'Tina Weymouth', 'Ednah Holt', 'Lynn Mabry', 'Steven Scales', 'Alex Weir', 'Bernie Worrell']",['Jonathan Demme'],['Gary Goetzman'],"['Music', 'Documentary']","['Song and dance', 'Legendary musicians and stardom', 'Dazzling vocal performances and musicals', 'Dance rhythms and catchy tunes']"
No Half Measures: Creating the Final Season of Breaking Bad,4.68,https://letterboxd.com/film/no-half-measures-creating-the-final-season-of-breaking-bad/,A documentary about the making of season five of the acclaimed AMC series Breaking Bad.,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Steven Michael Quezada', 'Laura Fraser', 'Michael Bowen', 'Robert Forster', 'Vince Gilligan', 'Peter Gould', 'Rian Johnson', 'Sam Catlin', 'Moira Walley-Beckett', 'Sharon Bialy', 'Mark Johnson', 'Adam Bernstein', 'Dave Porter', 'Melissa Bernstein', 'Kelley Dixon', 'Steve Mosko', 'Stewart Lyons', 'Zack Van Amburg', 'Michelle MacLaren', 'Thomas Schnauz', 'Jamie Erlicht', 'Michael Lynton', 'Show All…', 'Mark S. Freeborn', 'Nina Jack', 'Charlie Collier', 'Gennifer Hutchison', 'George Mastras', 'Michael Slovis', 'Laurence Chavez', 'Christian Diaz de Bedoya', 'Skip Macdonald', 'Diane Mercer', 'Sherry Thomas', 'Andrew Voegeli', 'Helen Caldwell', 'Nathan E. Davis', 'Jesse Plemons', 'Charles Baker', 'Kevin Rankin']",['Stuart Richardson'],['Stuart Richardson'],['Documentary'],[]
Fullmetal Alchemist: Brotherhood,4.68,https://letterboxd.com/film/fullmetal-alchemist-brotherhood/,"Disregard for alchemy’s laws ripped half of Edward Elric’s limbs from his body and left his brother Alphonse’s soul clinging to a suit of armor. To restore what was lost, the brothers seek the Philosopher’s Stone. Enemies and allies – the corrupt military, the Homunculi, and foreign alchemists – will alter the Elric brothers course, but their purpose will remain unchanged and their bond unbreakable.","['Romi Park', 'Rie Kugimiya', 'Shin-ichiro Miki', 'Fumiko Orikasa', 'Megumi Takamoto']","['Takahiro Ikezoe', 'Kiyomitsu Sato', 'Hiroshi Ikehata', 'Shuji Miyahara', 'Takayuki Tanaka', 'Shigeru Ueda', 'Hisatoshi Shimizu', 'Ikuro Sato', 'Yoshifumi Sueda']","['Hiroo Maruyama', 'Nobuyuki Kurashige', 'Ryo Oyama', 'Norisato Yonai']","['Comedy', 'Animation']","['Epic heroes', 'Moving relationship stories', 'Emotional and captivating fantasy storytelling', 'Fantasy adventure, heroism, and swordplay', 'Superheroes in action-packed battles with villains', 'Epic adventure and breathtaking battles', 'Surreal and thought-provoking visions of life and death']"
Monster,4.67,https://letterboxd.com/film/monster-2004/,"Kenzou Tenma, a Japanese brain surgeon in Germany, finds his life in utter turmoil after getting involved with a psychopath that was once a former patient.","['Hidenobu Kiuchi', 'Nozomu Sasaki', 'Mamiko Noto', 'Tsutomu Isobe']","['Masayuki Kojima', 'Toru Takahashi', 'Yukiyo Teramoto', 'Tomoki Kobayashi', 'Kenji Nagasaki', 'Akane Inoue', 'Ryosuke Nakamura', 'Shigetaka Ikeda', 'Kentaro Nakamura', 'Hiroshi Aoyama', 'Tetsuya Watanabe', 'Yukihiro Miyamoto', 'Yuzo Sato', 'Nanako Shimazaki', 'Akitsu Minami', 'Kojiro Tsuruoka', 'Atsushi Takahashi', 'Tomohiko Ito', 'Kanji Wakabayashi', 'Takashi Takahashi', 'Kazuhisa Ono']","['Toshio Nakatani', 'Masao Maruyama', '油井卓也', 'Manabu Tamura', 'Hiroshi Yamashita']","['Mystery', 'Animation', 'Drama', 'Crime']","['Thrillers and murder mysteries', 'Humanity and the world around us', 'Twisted dark psychological thriller', 'Suspenseful crime thrillers', 'Terrifying, haunted, and supernatural horror', 'Intriguing and suspenseful murder mysteries', 'Noir and dark crime dramas']"
When Life Gives You Tangerines,4.65,https://letterboxd.com/film/when-life-gives-you-tangerines-2025/,"In Jeju, a spirited girl and a steadfast boy's island story blossoms into a lifelong tale of setbacks and triumphs — proving love endures across time.","['IU', 'Park Bo-gum', 'Moon So-ri', 'Park Hae-jun', 'Yeom Hye-ran', 'Kim Tae-yeon', 'Baek Ji-won', 'Choi Dae-hoon', 'Oh Min-ae', 'Kim Yong-rim', 'Cha Mi-kyeong', 'Chang Hyae-jin', 'Na Moon-hee', 'Oh Jung-se', 'Jung Hae-kyun', 'Lee Jun-young', 'Kang You-seok', 'Kim Seon-ho', 'Lee Soo-kyung']",['Kim Won-suk'],"['Hong Su-hwan', 'Jeon Soo-jung']",['Drama'],"['Moving relationship stories', 'Touching and sentimental family stories', 'Emotional and touching family dramas', 'Powerful stories of heartbreak and suffering', 'Heartbreaking and moving family drama', 'Tragic sadness and captivating beauty']"
Cowboy Bebop,4.65,https://letterboxd.com/film/cowboy-bebop/,"In 2071, roughly fifty years after an accident with a hyperspace gateway made the Earth almost uninhabitable, humanity has colonized most of the rocky planets and moons of the Solar System. Amid a rising crime rate, the Inter Solar System Police (ISSP) set up a legalized contract system, in which registered bounty hunters, also referred to as ""Cowboys"", chase criminals and bring them in alive in return for a reward.","['Koichi Yamadera', 'Unsho Ishizuka', 'Megumi Hayashibara', 'Aoi Tada']","['Ikuro Sato', 'Kunihiro Mori', 'Yoshiyuki Takei', 'Hirokazu Yamada', 'Tetsuya Watanabe', 'Shinichiro Watanabe']","['Kazuhiko Ikeguchi', 'Masahiko Minami']","['Western', 'Animation']","['Monsters, aliens, sci-fi and the apocalypse', 'Crime, drugs and gangsters', 'Westerns', 'Action-packed space and alien sagas', 'Thought-provoking sci-fi action and future technology', 'Imaginative space odysseys and alien encounters', 'Emotional and captivating fantasy storytelling', 'Superheroes in action-packed battles with villains']"
Twin Peaks,4.64,https://letterboxd.com/film/twin-peaks/,"An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks. (This standalone version of the series pilot was produced for the European VHS market and has an alternate, closed ending.)","['Kyle MacLachlan', 'Michael Ontkean', 'Mädchen Amick', 'Dana Ashbrook', 'Richard Beymer', 'Lara Flynn Boyle', 'Sherilyn Fenn', 'Warren Frost', 'Peggy Lipton', 'James Marshall', 'Everett McGill', 'Jack Nance', 'Ray Wise', 'Joan Chen', 'Piper Laurie', 'Sheryl Lee', 'Wendy Robie', 'Russ Tamblyn', 'Eric DaRe', 'Mary Jo Deschanel', 'Harry Goaz', 'Gary Hershberger', 'Michael Horse', 'Grace Zabriskie', 'Troy Evans', 'John Boylan', 'Rodney Harvey', 'Robert Davenport', ""Jan D'Arcy"", 'Show All…', 'Kimmy Robertson', 'Jessica Wallenfels', 'Don S. Davis', 'Charlotte Stewart', 'Roberta Maguire', 'Phoebe Augustine', 'Frank Roberts', 'Brett Vadset', 'David Wasman', 'Jane Jones', 'Tawnya Pettiford-Wates', 'Shelley Henning', 'Dorothy Roberts', 'Julee Cruise', 'Arnie Stenseth', 'Andrea Hays', 'Rick Tutor', 'Marjorie Nelson', 'Ben DiGregorio', 'Diane Caldwell', 'Catherine E. Coulson', 'Al Strobel', 'Frank Silva', 'Michael J. Anderson', 'David Chadwick', 'Laurel Ann White', 'Joey Altruda', 'Steven Hodges']",['David Lynch'],['David Latt'],"['Thriller', 'Drama', 'Mystery']",[]
